File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::count() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::items(),2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::at(int idx) const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::field() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::metadata() const,2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::read(const QJsonObject& jsonObject),79,72,40,14,7,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelcollection.cxx,GUI::TableModelCollection::write(QJsonObject& jsonObject) const,26,22,13,4,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.cxx,throw(invalid_argument),40,35,18,9,5,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.cxx,throw(invalid_argument),16,14,8,4,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.cxx,throw(invalid_argument),31,28,15,6,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),28,25,10,5,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),50,43,13,5,7,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),40,35,17,7,5,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),24,20,9,4,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),24,20,9,4,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.hxx,throw(invalid_argument),29,25,10,5,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,StyledItemDelegate(parent),1,1,1,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",8,7,3,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<Real>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",7,6,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<Integer>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",7,6,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<Rational>::createEditor( QWidget* parent, const QStyleOptionViewItem& option, const QModelIndex& index ) const",7,6,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::setEditorData( QWidget* editor, const QModelIndex& index ) const",6,5,5,0,0,0,1,3,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::setModelData( QWidget* editor, QAbstractItemModel* model, const QModelIndex& index ) const",5,5,5,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\numericstyleditemdelegate.txx,"NumericStyledItemDelegate<T>::updateEditorGeometry( QWidget* editor, const QStyleOptionViewItem& option, const QModelIndex& index ) const",2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.txx,throw(invalid_argument),21,19,7,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\tablemodelutils.txx,throw(invalid_argument),21,19,7,3,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"sortPointsByPolarAngle(list<Matrix<Real, 2, 1>>& points)",27,18,10,2,3,0,6,35,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"perp(const Matrix<Real, 2, 1>& vec)",8,6,4,1,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"norm(const Matrix<Real, 2, 1>& vec)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"lerp(Real x1, Real y1, Real x2, Real y2, Real x0)",2,2,2,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\lp\linearprogrammingutils.cxx,"blerp( Real x1, Real y1, Real z11, Real z12, Real x2, Real y2, Real z22, Real z21, Real x0, Real y0 )",6,5,5,1,1,0,0,0,
